Date,Product,Dealer,Sales
2022-08-01,Product 2,Dealer 1,1686
2022-08-02,Product 2,Dealer 1,1591
2022-08-03,Product 2,Dealer 1,2304
2022-08-04,Product 2,Dealer 1,1712
2022-08-05,Product 2,Dealer 1,1471
2022-08-06,Product 2,Dealer 1,1377
2022-08-07,Product 2,Dealer 1,1966
2022-08-08,Product 2,Dealer 1,2453
2022-08-09,Product 2,Dealer 1,1984
2022-08-10,Product 2,Dealer 1,2596
2022-08-11,Product 2,Dealer 1,4087
2022-08-12,Product 2,Dealer 1,5179
2022-08-13,Product 2,Dealer 1,1530
2022-08-14,Product 2,Dealer 1,1523
2022-08-15,Product 2,Dealer 1,1633
2022-08-16,Product 2,Dealer 1,1976
2022-08-17,Product 2,Dealer 1,1170
2022-08-18,Product 2,Dealer 1,1480
2022-08-19,Product 2,Dealer 1,1781
2022-08-20,Product 2,Dealer 1,2472
2022-08-21,Product 2,Dealer 1,1981
2022-08-22,Product 2,Dealer 1,2273
2022-08-23,Product 2,Dealer 1,3857
2022-08-24,Product 2,Dealer 1,4551
2022-08-25,Product 2,Dealer 1,1510
2022-08-26,Product 2,Dealer 1,1329
2022-08-27,Product 2,Dealer 1,1518
2022-08-28,Product 2,Dealer 1,1790
2022-08-29,Product 2,Dealer 1,1537
2022-08-30,Product 2,Dealer 1,1449
2022-08-31,Product 2,Dealer 1,1954
2022-09-01,Product 2,Dealer 1,1897
2022-09-02,Product 2,Dealer 1,1706
2022-09-03,Product 2,Dealer 1,2514
2022-09-04,Product 2,Dealer 1,3593
2022-09-05,Product 2,Dealer 1,4524
2022-09-06,Product 2,Dealer 1,1609
2022-09-07,Product 2,Dealer 1,1638
2022-09-08,Product 2,Dealer 1,2030
2022-09-09,Product 2,Dealer 1,1375
2022-09-10,Product 2,Dealer 1,1320
2022-09-11,Product 2,Dealer 1,1245
2022-09-12,Product 2,Dealer 1,1600
2022-09-13,Product 2,Dealer 1,2298
2022-09-14,Product 2,Dealer 1,2191
2022-09-15,Product 2,Dealer 1,2511
2022-09-16,Product 2,Dealer 1,3440
2022-09-17,Product 2,Dealer 1,4923
2022-09-18,Product 2,Dealer 1,1609
2022-09-19,Product 2,Dealer 1,1435
2022-09-20,Product 2,Dealer 1,2061
2022-09-21,Product 2,Dealer 1,1789
2022-09-22,Product 2,Dealer 1,1567
2022-09-23,Product 2,Dealer 1,1404
2022-09-24,Product 2,Dealer 1,1597
2022-09-25,Product 2,Dealer 1,3159
2022-09-26,Product 2,Dealer 1,1759
2022-09-27,Product 2,Dealer 1,2504
2022-09-28,Product 2,Dealer 1,4273
2022-09-29,Product 2,Dealer 1,5274
2022-09-30,Product 2,Dealer 1,1771
2022-10-01,Product 2,Dealer 1,1682
2022-10-02,Product 2,Dealer 1,1846
2022-10-03,Product 2,Dealer 1,1589
2022-10-04,Product 2,Dealer 1,1896
2022-10-05,Product 2,Dealer 1,1379
2022-10-06,Product 2,Dealer 1,1645
2022-10-07,Product 2,Dealer 1,2512
2022-10-08,Product 2,Dealer 1,1771
2022-10-09,Product 2,Dealer 1,3727
2022-10-10,Product 2,Dealer 1,4388
2022-10-11,Product 2,Dealer 1,5434
2022-10-12,Product 2,Dealer 1,1606
2022-10-13,Product 2,Dealer 1,1523
2022-10-14,Product 2,Dealer 1,1577
2022-10-15,Product 2,Dealer 1,1605
2022-10-16,Product 2,Dealer 1,1765
2022-10-17,Product 2,Dealer 1,1403
2022-10-18,Product 2,Dealer 1,2584
2022-10-19,Product 2,Dealer 1,3318
2022-10-20,Product 2,Dealer 1,1562
2022-10-21,Product 2,Dealer 1,2349
2022-10-22,Product 2,Dealer 1,3987
2022-10-23,Product 2,Dealer 1,5891
2022-10-24,Product 2,Dealer 1,1389
2022-10-25,Product 2,Dealer 1,1442
2022-10-26,Product 2,Dealer 1,1548
2022-10-27,Product 2,Dealer 1,1935
2022-10-28,Product 2,Dealer 1,1518
2022-10-29,Product 2,Dealer 1,1250
2022-10-30,Product 2,Dealer 1,1847
2022-10-31,Product 2,Dealer 1,1930
2022-11-01,Product 2,Dealer 1,2638
2022-11-02,Product 2,Dealer 1,3114
2022-11-03,Product 2,Dealer 1,4405
2022-11-04,Product 2,Dealer 1,7242
2022-11-05,Product 2,Dealer 1,1853
2022-11-06,Product 2,Dealer 1,1779
2022-11-07,Product 2,Dealer 1,2108
2022-11-08,Product 2,Dealer 1,2336
2022-11-09,Product 2,Dealer 1,1728
2022-11-10,Product 2,Dealer 1,1661
2022-11-11,Product 2,Dealer 1,2230
2022-11-12,Product 2,Dealer 1,1645
2022-11-13,Product 2,Dealer 1,2421
2022-11-14,Product 2,Dealer 1,3740
